"MEASURE" "ACTIVITY" "SUBJECT" "AVERAGE"
"Body Acceleration-mean()-X" "LAYING" 1 0.22159824394
"Body Acceleration-mean()-X" "LAYING" 2 0.281373403958333
"Body Acceleration-mean()-X" "LAYING" 3 0.275516852741935
"Body Acceleration-mean()-X" "LAYING" 4 0.263559214981481
"Body Acceleration-mean()-X" "LAYING" 5 0.278334325576923
"Body Acceleration-mean()-X" "LAYING" 6 0.248656520140351
"Body Acceleration-mean()-X" "LAYING" 7 0.250176694038462
"Body Acceleration-mean()-X" "LAYING" 8 0.261254282907407
"Body Acceleration-mean()-X" "LAYING" 9 0.2591955368
"Body Acceleration-mean()-X" "LAYING" 10 0.280230574137931
"Body Acceleration-mean()-X" "LAYING" 11 0.280592970877193
"Body Acceleration-mean()-X" "LAYING" 12 0.260113433
"Body Acceleration-mean()-X" "LAYING" 13 0.276716360483871
"Body Acceleration-mean()-X" "LAYING" 14 0.233275439803922
"Body Acceleration-mean()-X" "LAYING" 15 0.2894756525
"Body Acceleration-mean()-X" "LAYING" 16 0.274227162571429
"Body Acceleration-mean()-X" "LAYING" 17 0.269780085577465
"Body Acceleration-mean()-X" "LAYING" 18 0.274691576923077
"Body Acceleration-mean()-X" "LAYING" 19 0.272653733493976
"Body Acceleration-mean()-X" "LAYING" 20 0.239507882205882
"Body Acceleration-mean()-X" "LAYING" 21 0.271325472455556
"Body Acceleration-mean()-X" "LAYING" 22 0.279959721194444
"Body Acceleration-mean()-X" "LAYING" 23 0.274038007986111
"Body Acceleration-mean()-X" "LAYING" 24 0.272850494930556
"Body Acceleration-mean()-X" "LAYING" 25 0.250791828613699
"Body Acceleration-mean()-X" "LAYING" 26 0.271645864540789
"Body Acceleration-mean()-X" "LAYING" 27 0.274102492432432
"Body Acceleration-mean()-X" "LAYING" 28 0.2759134825
"Body Acceleration-mean()-X" "LAYING" 29 0.287295196811594
"Body Acceleration-mean()-X" "LAYING" 30 0.281033900571429
"Body Acceleration-mean()-X" "SITTING" 1 0.261237565425532
"Body Acceleration-mean()-X" "SITTING" 2 0.27708735173913
"Body Acceleration-mean()-X" "SITTING" 3 0.257197599134615
"Body Acceleration-mean()-X" "SITTING" 4 0.27153827992
"Body Acceleration-mean()-X" "SITTING" 5 0.273694139545455
"Body Acceleration-mean()-X" "SITTING" 6 0.276778487454545
"Body Acceleration-mean()-X" "SITTING" 7 0.284674637291667
"Body Acceleration-mean()-X" "SITTING" 8 0.267491472934783
"Body Acceleration-mean()-X" "SITTING" 9 0.24832674354
"Body Acceleration-mean()-X" "SITTING" 10 0.270612056481481
"Body Acceleration-mean()-X" "SITTING" 11 0.276590197358491
"Body Acceleration-mean()-X" "SITTING" 12 0.275007224901961
"Body Acceleration-mean()-X" "SITTING" 13 0.274328499591837
"Body Acceleration-mean()-X" "SITTING" 14 0.279990577037037
"Body Acceleration-mean()-X" "SITTING" 15 0.27290337979661
"Body Acceleration-mean()-X" "SITTING" 16 0.280768574492754
"Body Acceleration-mean()-X" "SITTING" 17 0.2773570196875
